Position	Starters	Last	Since	Number	Carried	Weight	Barrier	Distance	Lengths	Odds	Starts	Age	Ratio
1	8	1	14	4	54	54	5	1200	0	2.75	6	3	0.33
2	8	3	82	1	55.5	55.5	3	1200	3	3.25	5	3	0.2
3	8	2	14	3	54	54	6	1200	4.75	4	8	3	0.12
4	8	1	16	5	52.5	52	8	1200	6	8	9	3	0.11
5	8	5	140	7	52.5	52	4	1200	7.5	50	7	3	0
6	8	8	173	2	52	55	2	1200	8.75	4	3	3	0.33
7	8	3	9	8	52	52	7	1200	12.25	140	5	3	0
8	8	8	13	6	52	52	1	1200	14.25	50	2	3	0.5
1	12	12	17	4	54	54	8	1810	0	10	19	6	0.05
2	12	3	16	9	49	52	4	1810	1.5	14	36	5	0.11
3	12	8	21	7	52	52	2	1810	2.75	9	26	6	0.3
4	12	3	14	2	52	55	5	1810	3	9	59	6	0.15
5	12	3	15	12	52	52	9	1810	3.75	40	9	4	0.11
6	12	3	10	8	52.5	52	11	1810	5	9	27	4	0.14
7	12	3	14	1	55.5	55.5	7	1810	5.5	6	32	7	0.09
8	12	1	16	6	52.5	52.5	6	1810	6.5	4.5	17	4	0.17
9	12	2	14	10	52.5	52	10	1810	8.25	10	25	5	0.04
10	12	20	17	3	54.5	54.5	3	1810	10	12	24	5	0.16
11	12	2	10	5	51	54	1	1810	13.25	7.5	27	5	0.14
12	12	1	23	11	52.5	52	12	1810	14.25	16	7	4	0.14
1	9	1	21	2	55.5	55.5	3	2212	0	3.25	18	4	0.16
2	9	6	14	4	54	54	7	2212	0.25	3.25	22	6	0.27
3	9	8	14	7	52.5	52	5	2212	0.5	6	25	5	0.2
4	9	5	14	11	52	52	8	2212	1.5	7.5	15	5	0.13
5	9	1	16	5	54	54	4	2212	1.75	10	24	6	0.16
6	9	7	14	1	53	56	6	2212	2.75	7	45	6	0.13
7	9	7	14	9	52.5	52	1	2212	4.5	7	41	6	0.09
8	9	5	7	3	54	54	9	2212	5.25	10	23	5	0.17
9	9	8	17	10	51	52	2	2212	10.5	25	37	6	0.13
